"geneNames.as.numeric.rownames.res1..1.l1...","res1.adj.P.Val.1.l1."
"Celera Transcript hCT10261.4",3.7764540981435e-53
"Celera Transcript hCT1831618.3",4.33618359679462e-53
"Celera Transcript hCT1639957.2",4.37127500265438e-53
"Celera Transcript hCT1970582.2",4.4133218338849e-53
"TMSB4X",4.47402472296864e-53
"RPS20",4.47799916432384e-53
"Celera Transcript hCT1643483.2",5.36451093653106e-53
"Celera Transcript hCT1640838.4",5.48164041871737e-53
"Celera Transcript hCT29540.2",5.54512303428823e-53
"Celera Transcript hCT2285963",5.55658588076578e-53
"--obsolete",5.95557825689879e-53
"Celera Transcript hCT1822624.1",5.95557825689879e-53
"NACA",6.31631101663587e-53
"Celera Transcript hCT1642662.1",6.33136941625665e-53
"RPL18A",6.57553052248686e-53
"Celera Transcript hCT1822657.2",7.02175939130672e-53
"RPL24",7.02175939130672e-53
"RPS12",7.68768376524285e-53
"Celera Transcript hCT30833.3",8.09888174910667e-53
"Celera Transcript hCT2289618",8.48699682042504e-53
"Celera Transcript hCT1641738.2",8.86689014595022e-53
"--obsolete",9.03179874914302e-53
"Celera Transcript hCT1641891.3",9.17674992041839e-53
"RPS28",9.45569778214056e-53
"Celera Transcript hCT2265648.1",1.01082995050184e-52
"Celera hCG2017591",1.15802498023483e-52
"Celera Transcript hCT2299985",1.2309395005155e-52
"Celera Transcript hCT1641482.4",1.26655965816053e-52
"Celera Transcript hCT2282487.1",1.30333617654505e-52
"Celera Transcript hCT1640253.3",1.39034619088452e-52
"PPIA",1.46213723944319e-52
"RPL36",1.46448435529795e-52
"CHCHD2",1.46448435529795e-52
"Celera Transcript hCT1644420.2",1.52430977860221e-52
"Celera Transcript hCT2346547.2",1.52705819678028e-52
"--obsolete",1.60520186284343e-52
"Celera Transcript hCT1814829.2",1.73168242653852e-52
"Celera Transcript hCT1640921.3",1.74784295024866e-52
"SUB1",1.75219154895937e-52
"Celera Transcript hCT2350407",1.75860734289001e-52
"SERP1",1.78396036815687e-52
"Celera Transcript hCT2259480,Celera Transcript hCT2259481",1.87788947028706e-52
"Celera Transcript hCT16494.3",1.88086382711429e-52
"RPL26",1.97827126258173e-52
"Celera Transcript hCT13200.2",2.04128901282469e-52
"Celera Transcript hCT14805.3",2.04128901282469e-52
"Celera Transcript hCT1645092.4",2.04197456962468e-52
"EEF1G",2.51564259642213e-52
"Celera Transcript hCT7443.2",2.56014143577757e-52
"--obsolete",2.56990034966239e-52
"Celera Transcript hCT201158.1",2.72224266127285e-52
"Celera Transcript hCT1818965.1",2.85613013593964e-52
"Celera Transcript hCT1816088.1",2.90154675107378e-52
"Celera Transcript hCT31002.3",3.23549389033517e-52
"Celera Transcript hCT1643572.2",3.23549389033517e-52
"Celera Transcript hCT1832396.1",3.38512435377372e-52
"SSR2",3.457977397964e-52
"RPL39",3.48534502960622e-52
"Celera Transcript hCT2302266",3.72663676426353e-52
"Celera Transcript hCT2278500,Celera Transcript hCT2278502",4.30717344933249e-52
"Celera Transcript hCT1643779.1",4.4022531788907e-52
"--obsolete",4.42451869538156e-52
"RPL23A",4.45521637597814e-52
"Celera Transcript hCT1640493.3,Celera Transcript hCT1826901.4,Celera Transcript hCT2326339.1,Celera Transcript hCT2251225",4.59046542625463e-52
"Celera Transcript hCT1814921.1",4.62870385706086e-52
"Celera Transcript hCT1640613.2",4.68687268887165e-52
"Celera Transcript hCT13492.2",4.78315593995453e-52
"180252",5.21276724829227e-52
"Celera Transcript hCT1639902.1",5.26637016750137e-52
"RPL6",5.34584049786601e-52
"Celera Transcript hCT1639922.3",5.47091988039341e-52
"Celera Transcript hCT8189.2",5.64744575958828e-52
"RPS7",5.70568184888262e-52
"Celera Transcript hCT1643605.3",5.72738617093145e-52
"Celera Transcript hCT2261772.1",6.12333997959255e-52
"PTMA",6.21858811109064e-52
"Celera Transcript hCT1640805.4",6.23494039218843e-52
"RPS17",6.51984237685388e-52
"Celera Transcript hCT1642059.2",6.68971479931649e-52
"Celera Transcript hCT24495.4",7.01678104155387e-52
"Celera Transcript hCT2316337,Celera Transcript hCT2316340,Celera Transcript hCT2316339",7.50246867272647e-52
"Celera Transcript hCT1639961.2",7.76404467427578e-52
"EEF1A1",7.83511482116704e-52
"Celera Transcript hCT1835128.2",8.62505287208926e-52
"TPT1",9.35895317264706e-52
"Celera Transcript hCT2345396.1",9.39936807423855e-52
"Celera Transcript hCT2320620.1",1.00811395019696e-51
"Celera Transcript hCT2346835",1.00811395019696e-51
"Celera Transcript hCT1643567.3",1.1007157049841e-51
"Celera Transcript hCT1642327.1",1.13682171921835e-51
"RPS7",1.13695873790575e-51
"Celera Transcript hCT2284918,Celera Transcript hCT30489.3",1.1645068444633e-51
"RPL26",1.20332861225949e-51
"Celera Transcript hCT1643542.3",1.34369480656615e-51
"Celera Transcript hCT2300093",1.34369480656615e-51
"--obsolete",1.38726057616177e-51
"SLC25A3",1.46208229704196e-51
"Celera Transcript hCT1816764.2",1.51857514817856e-51
"RPL3",1.53805825654509e-51
"Celera Transcript hCT2347302.1",1.66421315681207e-51
"Celera Transcript hCT2350424.1",1.67896064389204e-51
"Celera hCG2014648",1.69523041518204e-51
"PPP1CC",1.79803557444449e-51
"Celera hCG2028912",1.82788968559104e-51
"Celera Transcript hCT1826580.1",2.04361002738243e-51
"Celera Transcript hCT1823003.1",2.19507786438769e-51
"RPS4X",2.34888501488053e-51
"Celera Transcript hCT27968.3",2.38700480015703e-51
"Celera Transcript hCT2345403.1",2.43208464436627e-51
"RPL26L1",2.43477964886578e-51
"Celera Transcript hCT8746.3",2.69627220429421e-51
"Celera Transcript hCT2350385",2.75060642673565e-51
"Celera Transcript hCT1971185.2",3.00512923590451e-51
"KCMF1",3.1322519185771e-51
"SRSF2",3.16301439489214e-51
"RPL11",3.27686351716446e-51
"RPS9",3.40877965864641e-51
"--obsolete",3.42407463773173e-51
"Celera Transcript hCT1642686.1",3.56383715184773e-51
"Celera Transcript hCT2284762",3.72792976420385e-51
"RPL18",3.77563607655244e-51
"--obsolete",4.11702400918436e-51
"--obsolete",4.30420431941744e-51
"ACTB",4.30420431941744e-51
"Celera Transcript hCT13288.2",4.4971275883571e-51
"Celera Transcript hCT1816173.2",4.5051296492918e-51
"LOC339059",4.6986040507042e-51
"Celera Transcript hCT1823837.1",4.76116191945996e-51
"RPSA",4.95109532834856e-51
"C19orf43",5.16301196346586e-51
"--obsolete",5.72508026266592e-51
"RPL4",6.18143961363e-51
"147869",6.75737530017152e-51
"Celera Transcript hCT2259933",6.93516609105076e-51
"SRSF9",7.2342609940479e-51
"RPLP1",8.62158770770474e-51
"Celera Transcript hCT2336139",8.62158770770474e-51
"Celera Transcript hCT1644289.3",9.32304924876306e-51
"Celera Transcript hCT1970799",9.33160198656188e-51
"Celera Transcript hCT1819034.1",9.64044082393752e-51
"Celera Transcript hCT1642587.2",1.1223715316233e-50
"RPS23",1.15775390693194e-50
"Celera Transcript hCT32321.3",1.23936282269401e-50
"Celera Transcript hCT1829789.3",1.25239905946445e-50
"Celera Transcript hCT2266754,Celera Transcript hCT2266755",1.26732798673726e-50
"Celera Transcript hCT1644792.2",1.48049131042487e-50
"Celera Transcript hCT16722.4",1.48897010244596e-50
"RPSA",1.4987865580194e-50
"RACK1",1.53511443996016e-50
"Celera Transcript hCT1814414.1",1.56282403517644e-50
"PTOV1",1.57304526658642e-50
"--obsolete",1.57304526658642e-50
"--obsolete",1.57304526658642e-50
"Celera Transcript hCT2360771,Celera Transcript hCT1643688.2",1.58277309189099e-50
"SRP14",1.58840495860743e-50
"Celera Transcript hCT1642601.2",1.59781683870317e-50
"Celera Transcript hCT2345613.1",1.63176417584271e-50
"Celera Transcript hCT12262.3",1.73165503581899e-50
"Celera Transcript hCT1823041.1",1.83661828718687e-50
"EEF1B2",1.84117426973164e-50
"Celera Transcript hCT1642523.1",1.88161233805097e-50
"609850",1.96472426876454e-50
"Celera Transcript hCT2287968",1.97838084323776e-50
"RPL7",1.99232478513311e-50
"TUBA1B",2.01608298041036e-50
"Celera Transcript hCT12597.4",2.03118146070333e-50
"Celera Transcript hCT2271220,Celera Transcript hCT2271219,Celera Transcript hCT2271217",2.10798565610127e-50
"C1orf43",2.28068582959101e-50
"Celera Transcript hCT2350406",2.32385560358025e-50
"Celera Transcript hCT2301107",2.32385560358025e-50
"SNAPIN",2.36349140206596e-50
"PARK7",2.44705855121468e-50
"Celera Transcript hCT2350317",2.52089202862523e-50
"Celera Transcript hCT1953845",2.77970562730453e-50
"Celera hCG1641556.4",2.90396756849959e-50
"101811",2.98941293986954e-50
"Celera Transcript hCT1641812.2",3.04848873404818e-50
"Celera Transcript hCT1822178.2",3.12466280017251e-50
"Celera Transcript hCT2262330,Celera Transcript hCT2262328",3.23059761108719e-50
"Celera hCG20134.3",3.32717954139229e-50
"Celera Transcript hCT2281965,Celera Transcript hCT2281966,Celera Transcript hCT2334403",3.49171268006094e-50
"BRK1",3.76264173332486e-50
"PPIA",3.77026904978315e-50
"HMGN2",3.79275790904971e-50
"Celera Transcript hCT1641558.3",3.79762080987858e-50
"Celera Transcript hCT1970790.1",3.79762080987858e-50
"Celera Transcript hCT2346518.1",3.79762080987858e-50
"YTHDF2",3.80795483808467e-50
"147171",4.17600586985926e-50
"133238",4.25422178209199e-50
"Celera Transcript hCT2350441",4.27778884454894e-50
"RPL7",4.2995909507503e-50
"Celera Transcript hCT1816379.3",4.39667317415959e-50
"FAU",4.40182364399716e-50
"Celera Transcript hCT2267836",4.53523456919722e-50
"Celera Transcript hCT1640580.1",4.55093426745396e-50
"Celera Transcript hCT2264614,Celera Transcript hCT2264612,Celera Transcript hCT2264613,Celera Transcript hCT25535.3",4.70459610058016e-50
"SUMO2",4.80259790532403e-50
"Celera Transcript hCT2350409",5.23596570548223e-50
"Celera Transcript hCT1641105.4",5.49317829202837e-50
"Celera Transcript hCT2345413.2",5.7436289950077e-50
"SKP1",5.78204817160201e-50
"TMSB10",5.79477152653991e-50
"Celera Transcript hCT1642549.2",5.82715158515756e-50
"--obsolete",5.82715158515756e-50
"ERP29",5.91370271781892e-50
"Celera Transcript hCT2350421",6.0385397610486e-50
"Celera Transcript hCT2345394",6.05978300975639e-50
"SLC25A6",6.12849749883513e-50
"KXD1",6.17113530843581e-50
"Celera Transcript hCT1953481.1",6.74574520172236e-50
"CNBP",6.75844221505437e-50
"Celera Transcript hCT2350631",6.77670997828405e-50
"--obsolete",6.83197465393671e-50
"--obsolete",6.91565034893022e-50
"RPL3",6.98180246536015e-50
"Celera Transcript hCT2350393",7.04964396836152e-50
"RPS11",7.22080819122478e-50
"129708",7.22080819122478e-50
"Celera Transcript hCT2270022",7.23054457299182e-50
"Celera Transcript hCT2332084",7.32445630377282e-50
"Celera Transcript hCT2345489.1",7.37371480157145e-50
"Celera Transcript hCT1641793.2",7.64398963245562e-50
"Celera Transcript hCT1816775.1",7.64498653190104e-50
"Celera Transcript hCT2259132,Celera Transcript hCT2259133,Celera Transcript hCT1644652.3",7.67197252694198e-50
"Celera Transcript hCT2285108.1",7.74412763524046e-50
"Celera Transcript hCT2300448",7.83013019971684e-50
"--obsolete",7.83673416491006e-50
"Celera hCG2029202.1",8.25954230543165e-50
"Celera Transcript hCT2271356,Celera Transcript hCT2271354,Celera Transcript hCT2271355",8.43236298616792e-50
"Celera Transcript hCT1642134.1",8.47162223070744e-50
"C14orf166",8.47162223070744e-50
"Celera hCG2013151",8.47162223070744e-50
"HMGN2",8.51332993721242e-50
"Celera Transcript hCT1825180.2",8.74823898810864e-50
"RPS25",8.96011732553365e-50
"RPL7A",8.99098817365871e-50
"Celera Transcript hCT1813427.3",9.15296061376613e-50
"Celera Transcript hCT1641150.2",9.16526539105321e-50
"SCAMP3",9.16526539105321e-50
"EIF3D",9.21743499197152e-50
"HMGA1",9.70072458815724e-50
"RPL17",9.70072458815724e-50
"PTGES3",9.96762149434752e-50
"Celera Transcript hCT1642816.2",9.96762149434752e-50
"TMEM203",1.03393020765378e-49
"Celera Transcript hCT1830453.1",1.03393020765378e-49
"HMGN2",1.07026014039003e-49
"RPS21",1.07976356592881e-49
"TAGLN2",1.10629407914452e-49
"RPL14",1.10869490697491e-49
"--obsolete",1.10942259579326e-49
"HNRNPC",1.11842352205072e-49
"Celera Transcript hCT2312728",1.22381265745599e-49
"Celera Transcript hCT1777477.1",1.23434923134973e-49
"RPL8",1.27055947883087e-49
"Celera Transcript hCT8188",1.33226609311534e-49
"ARL6IP4",1.33499481754239e-49
"USP39",1.42074127645186e-49
"SDHC",1.42074127645186e-49
"Celera Transcript hCT1970506.2",1.42661133003811e-49
"Celera Transcript hCT2297346",1.45906581209531e-49
"Celera Transcript hCT2350419",1.47271794565308e-49
"RPL28",1.54709851431565e-49
"RPS9",1.55873587145909e-49
"--obsolete",1.57468100242111e-49
"TPT1",1.64991238411135e-49
"FTL",1.65505159476852e-49
"Celera Transcript hCT2258078",1.65690029363139e-49
"SMIM7",1.80930144856122e-49
"NACA2",1.84081872560205e-49
"Celera Transcript hCT13287.3",1.88091350486117e-49
"Celera Transcript hCT9166.3,Celera Transcript hCT2320428",1.98257975489795e-49
"CCT7",1.9877732049314e-49
"Celera Transcript hCT1640264.3",2.02897833756839e-49
"RPL41",2.04859630936125e-49
"MRFAP1",2.07988421884228e-49
"Celera Transcript hCT2261204.1",2.10404293174893e-49
"Celera Transcript hCT1970790.1",2.10702321379931e-49
"Celera Transcript hCT2345794",2.11450835632978e-49
"RTCB",2.11607395144965e-49
"DNAJC8",2.2615209101812e-49
"Celera Transcript hCT1643331.4",2.29136733899822e-49
"ANAPC16",2.40259012743279e-49
"Celera Transcript hCT2271356,Celera Transcript hCT2271354",2.42971388545078e-49
"Celera Transcript hCT1781379.1",2.48931967074608e-49
"Celera Transcript hCT2345513",2.52450701952971e-49
"RPS16",2.60150189777353e-49
"RPLP2",2.62712475026242e-49
"Celera Transcript hCT1805287.2",2.93028685706438e-49
"Celera Transcript hCT1640892.2",3.0595183096831e-49
"PPP4C",3.10613333230692e-49
"--obsolete",3.14268957244629e-49
"H3F3AP4",3.21927715159644e-49
"EEF2",3.30760039020748e-49
"Celera Transcript hCT24281.3",3.32759159706226e-49
"PEX19",3.37593375635279e-49
"Celera Transcript hCT2319282",3.49164808228124e-49
"TAGLN2",3.64893367971571e-49
"Celera Transcript hCT1640062.2",3.70966616804848e-49
"SF1",3.9551422186564e-49
"SPG21",4.0015018431148e-49
"Celera Transcript hCT2350444",4.18262685363999e-49
"--obsolete",4.18262685363999e-49
"234761",4.1974186461492e-49
"Celera hCG1987100",4.42097612249643e-49
"Celera Transcript hCT2345493",4.55488892001316e-49
"Celera Transcript hCT2328487.1",4.71713769115654e-49
"IWS1",4.78513655157065e-49
"Celera Transcript hCT2275384.1,Celera Transcript hCT2275383.1,Celera Transcript hCT2360792,Celera Transcript hCT2360791",4.82158482339348e-49
"Celera Transcript hCT1642959",5.09452661921617e-49
"Celera Transcript hCT28016.3",5.11063413092323e-49
"Celera Transcript hCT1954817.2",5.29605028970229e-49
"Celera Transcript hCT2268587.1,Celera Transcript hCT2351091",5.33945140694189e-49
"Celera Transcript hCT11849.3",5.46742461234906e-49
"Celera Transcript hCT6616.3",5.48813889110335e-49
"Celera Transcript hCT16862.2",5.69363748053292e-49
"Celera Transcript hCT1640497.5",5.71582091589271e-49
"--obsolete",5.72959992607998e-49
"Celera Transcript hCT2345434",5.82894881688655e-49
"HAT1",5.96241526640539e-49
"CNOT2",6.06036381890035e-49
"PMPCB",6.28829294026723e-49
"--obsolete",6.49937498664825e-49
"Celera Transcript hCT1645465.1",6.77692962509077e-49
"Celera Transcript hCT2253105",6.93532300457656e-49
"Celera Transcript hCT1643964.1",7.02562403049843e-49
"Celera hCG37844.3",7.05996116130284e-49
"Celera Transcript hCT2345478",7.18312042367597e-49
"Celera Transcript hCT1814414.1",7.18312042367597e-49
"Celera Transcript hCT2289032,Celera Transcript hCT18831.4",7.48903622217028e-49
"Celera Transcript hCT2345661",7.64768685654232e-49
"Celera Transcript hCT6953.2",7.66114853011308e-49
"Celera Transcript hCT1833661.2",8.6129435709564e-52
"Celera Transcript hCT8401.3",8.03598349438519e-49
"HNRNPK",8.08056621403481e-49
"NIF3L1",8.10564556511427e-49
"--obsolete",8.47421429941927e-49
"TBL2",8.70034488179052e-49
"XRCC6",8.82907885809849e-49
"SUMO1",8.93662038244436e-49
"PSMC1",9.17326006348457e-49
"Celera Transcript hCT1641356.2,Celera Transcript hCT2291604",9.34717800609885e-49
"SRSF10",9.46304697764052e-49
"Celera hCG28763.3",9.97098677455922e-49
"Celera Transcript hCT14065.3",1.01484683011236e-48
"TRA2B",1.04290105423973e-48
"Celera Transcript hCT1951691.1",1.07652282882759e-48
"MFF",1.13719345557831e-48
"Celera Transcript hCT1816123.2",1.14674243082547e-48
"TSEN34",1.14945943015295e-48
"HMGN4",1.15537152216027e-48
"--obsolete",1.16684413403704e-48
"NRBP1",1.18127879003788e-48
"Celera Transcript hCT1643040.2",1.18127879003788e-48
"Celera Transcript hCT9543.4",1.18127879003788e-48
"TECR",1.32492997018303e-48
"CEP19",1.36779810342046e-48
"Celera Transcript hCT1646714.2",1.41313561360841e-48
"Celera Transcript hCT13902.2",1.44290670796137e-48
"COX4I1",1.45239553214641e-48
"RPS3A",1.46649526566077e-48
"Celera Transcript hCT1833032.2",1.46649526566077e-48
"Celera Transcript hCT2333252",1.4807124881474e-48
"Celera Transcript hCT1644692.2",1.4807124881474e-48
"Celera Transcript hCT1641350.4",1.48460508652338e-48
"Celera Transcript hCT1642984.1",1.48460508652338e-48
"PRDX1",1.52425823558023e-48
"Celera Transcript hCT1644716.1",1.60083962162089e-48
"RAB13",1.70637590361603e-48
"Celera Transcript hCT1818477.1",1.71633769027314e-48
"Celera Transcript hCT2254998",1.75682795160114e-48
"RPL19",1.87440053674663e-48
"Celera Transcript hCT1641371.2",1.91372606518927e-48
"RPS25",1.97147694007076e-48
"Celera Transcript hCT1644200.3",2.01962177074634e-48
"Celera Transcript hCT2345456.1",2.05183900125718e-48
"H3F3B",2.18502043290947e-48
"--obsolete",2.19852285123172e-48
"Celera Transcript hCT11005.3",2.19852285123172e-48
"RBM4",2.2134535679848e-48
"MAD2L1BP",2.2134535679848e-48
"Celera Transcript hCT6188.2",2.22311344667907e-48
"Celera Transcript hCT2345810",2.23167679043378e-48
"Celera Transcript hCT7354.3",2.23653153129812e-48
"Celera Transcript hCT2283678",2.25282484332456e-48
"Celera Transcript hCT1970546.2",2.28128396199011e-48
"ZFAND5",2.28128396199011e-48
"Celera Transcript hCT2286983",2.28128396199011e-48
"Celera Transcript hCT1960560.1",2.28360632967711e-48
"Celera Transcript hCT2314028",2.30913600256631e-48
"Celera Transcript hCT1640301.2",2.30913600256631e-48
"MORF4L2",2.40058772439647e-48
"SNX3",2.43222775019699e-48
"Celera Transcript hCT1781182.3",2.48191856457982e-48
"Celera Transcript hCT8710.3",2.55728004626337e-48
"SEP15",2.62395333100983e-48
"CLIC1",2.66401784698433e-48
"QRICH1",2.72940052613132e-48
"PPP2CA",2.774363938351e-48
"Celera Transcript hCT1970794.1",2.77892790399426e-48
"SLC25A5",2.78664696511958e-48
"Celera Transcript hCT1772223.2",2.79212027201712e-48
"Celera Transcript hCT2318197.1,Celera Transcript hCT1966901.2,Celera Transcript hCT31574.3",2.87618301310342e-48
"Celera Transcript hCT2350210",3.04993228538543e-48
"Celera Transcript hCT2309328",3.09899190142682e-48
"EDF1",3.12399056173646e-48
"EIF3G",1.34442135354186e-50
"Celera Transcript hCT2251087.1",3.20020259015677e-48
"Celera Transcript hCT2265438",3.30747395202444e-48
"Celera Transcript hCT2321593.1",3.31837584788877e-48
"Celera hCG2008558",3.44033995393969e-48
"--obsolete",3.46568345699182e-48
"RNF220",3.46684374295123e-48
"Celera Transcript hCT2272948.1",3.48243720224686e-48
"Celera Transcript hCT2345379.1",3.50158550256746e-48
"Celera Transcript hCT2332000",3.62383010764373e-48
"Celera Transcript hCT1642658.3",3.79070366427046e-48
"Celera Transcript hCT1643162.2",3.96158416571182e-48
"Celera Transcript hCT2350403",4.09608912421387e-48
"Celera Transcript hCT2259933",4.17865524997571e-48
"Celera Transcript hCT1775700.1",4.20800271070966e-48
"TARDBP",4.22963593940762e-48
