"geneNames.as.numeric.rownames.res1..1.l1...","res1.adj.P.Val.1.l1."
"ARHGAP29",9.39480401757682e-07
"KANK1",1.02958104847853e-06
"FAM106CP",1.03761951721948e-06
"STK24",1.04034878698932e-06
"SLC38A3",1.06424937750221e-06
"chr18:57830800-57830940",1.13759521588312e-06
"LAMA5",1.13759521588312e-06
"FMNL2",1.23132189059451e-06
"PRDM8",1.23132189059451e-06
"MFHAS1",1.3332290109102e-06
"HSPA1B",1.33385028904454e-06
"CPS1",1.34439555120724e-06
"ZFHX3",1.39934970277972e-06
"HSPA1B",1.42285447877732e-06
"MMRN1",1.48806489760664e-06
"ZNF536",1.48806489760664e-06
"GPT2",1.49514847850591e-06
"NEXN",1.49514847850591e-06
"NKX6-1",1.49514847850591e-06
"ROBO2",1.49858746243148e-06
"FAM106CP",1.51081943983009e-06
"BVES",1.51081943983009e-06
"HTRA1",1.56768449738593e-06
"KCNJ10",1.62132324467537e-06
"RHOB",1.62132324467537e-06
"PRCP",1.66715593559084e-06
"TNFRSF11B",1.6904928083188e-06
"SLFN12",1.73760560901663e-06
"PGM5P2",1.78793635458422e-06
"EFNB2",1.78793635458422e-06
"FAM135B",1.78793635458422e-06
"SYTL4",1.78793635458422e-06
"GLI3",1.78793635458422e-06
"AZIN2",1.81609805728986e-06
"TMEM54",1.81609805728986e-06
"PFKFB3",1.89733001440927e-06
"chr17:32907768-32966337",1.89733001440927e-06
"chr5:79535308-79535407",1.89822359297388e-06
"ERRFI1",1.9598465913398e-06
"ZFHX4",1.96719463660161e-06
"SORD",2.00274811102435e-06
"SEPT8",2.17286147528639e-06
"ASCL1",2.25634056968067e-06
"CCDC144CP",2.50993346180445e-06
"ZNF558",2.60219774701644e-06
"CDH1",2.84490093858572e-06
"HES6",2.89199684623299e-06
"STAC",2.89199684623299e-06
"ARID5A",2.95809145697636e-06
"PLP1",3.01199929289598e-06
"GRPR",3.20885270279565e-06
"CA14",3.20885270279565e-06
"CCDC169-SOHLH2",3.51725639608338e-06
"COL24A1",3.5251945902397e-06
"ITSN1",3.81794438604016e-06
"WNT7A",3.8429749892223e-06
"RBM24",3.89030842596163e-06
"PDE4DIP",3.89030842596163e-06
"PSRC1",4.27441123699201e-06
"CYFIP2",4.27441123699201e-06
"PAX3",4.40081709132314e-06
"chr2:158769323-158769385",4.40081709132314e-06
"B4GALT5",4.46285897975302e-06
"ZNRF3",4.60526480412034e-06
"SPP1",4.6224399629624e-06
"chrM:578-649",4.81334171791525e-06
"ITGA3",4.96060251915474e-06
"PLEKHB1",5.09856665195499e-06
"IGFBPL1",5.09856665195499e-06
"BOC",5.16869679429799e-06
"TOX",5.65368298470087e-06
"AK4",5.6543670993451e-06
"HECTD2",5.6543670993451e-06
"PATJ",5.75267934224777e-06
"MAP7",5.8474610004339e-06
"FAT4",5.85740335931187e-06
"ADAM19",5.85740335931187e-06
"F2R",6.10015030468613e-06
"EFNA5",6.19520798292818e-06
"UCP2",6.19520798292818e-06
"DLGAP1",6.72544026943754e-06
"TENM4",6.7839314948056e-06
"PRKCA",6.90044955657975e-06
"PRICKLE2",6.90044955657975e-06
"PMP2",6.90044955657975e-06
"FRAS1",7.24221568778555e-06
"ZNF423",7.32563520758971e-06
"EGLN3",7.57648782723142e-06
"WWP1",7.59775284600972e-06
"TSC22D2",7.62129379590116e-06
"SPR",7.88480177849705e-06
"FKBP5",8.0244625020594e-06
"KIRREL3",8.05928292456084e-06
"TLE3",8.05928292456084e-06
"THUMPD2",8.13292532007783e-06
"IFITM1",8.63379970895137e-06
"CEP78",8.7679950511658e-06
"HSPA1B",9.30243590760751e-06
"GRIN2A",9.61287095215405e-06
"FABP4",9.65731813594063e-06
"POLR2J3",1.00986479469091e-05
"PLPP5",1.010108832165e-05
"HSPA1B",1.01214996572988e-05
"HSPA1B",1.01214996572988e-05
"NRG1",1.05050966488195e-05
"HOXB4",1.08345474700522e-05
"SYNM",1.1549943074444e-05
"CADPS2",1.1549943074444e-05
"TRIM68",1.18941788536462e-05
"MGST1",1.22550476379496e-05
"NOD1",1.23707640110636e-05
"DCHS2",1.26256576769971e-05
"TENM1",1.28589007600956e-05
"FOXP2",1.28589007600956e-05
"TMEM133",1.28589007600956e-05
"chr3:125879126-125879288",1.28944840893015e-05
"HNRNPUL2-BSCL2",1.29282649008783e-05
"CNTN3",1.29282649008783e-05
"TIMP2",1.29282649008783e-05
"CCNG1",1.29362984132644e-05
"GPC5",1.29362984132644e-05
"LRIG3",1.3016116567756e-05
"ECM2",1.3016116567756e-05
"CACNA2D3",1.31029828012293e-05
"SLC44A3",1.32766399668317e-05
"SHPRH",1.32766399668317e-05
"GRIK1",1.36384287728375e-05
"NXT2",1.39185009163299e-05
"DOCK11",1.40554387840802e-05
"GNAL",1.47045324092184e-05
"RASL10A",1.47097081531923e-05
"CRTC3",1.4795273532421e-05
"FGFR3",1.48684049930201e-05
"SHISA6",1.51825806053091e-05
"chr11:10531757-10531827",1.55272523660591e-05
"PHLDA1",1.55272523660591e-05
"FAM69C",1.57487005079404e-05
"SHISA6",1.5791102139812e-05
"GRM1",1.61850265920013e-05
"ATP1B2",1.6410407126016e-05
"STK17A",1.69645017820908e-05
"CA11",1.72413295819227e-05
"TNFAIP3",1.82186400941074e-05
"CCDC186",1.82888941855257e-05
"AVPR1A",1.84958903100169e-05
"CDC14B",1.85151029170678e-05
"GPR37L1",1.97227731995342e-05
"KCNA4",2.04064516459687e-05
"BAG3",2.07369103936681e-05
"GCNT4",2.22263204861277e-05
"RUNX2",2.3501535072965e-05
"ZBTB16",2.35054974868974e-05
"CNGA3",2.43768822292412e-05
"EDNRB",2.47350524573364e-05
"UPK3BL",2.47350524573364e-05
"CMIP",2.48571043312253e-05
"TTYH2",2.48571043312253e-05
"KLHL29",2.62754239099417e-05
"ADCYAP1R1",2.6484512080402e-05
"ANO5",2.6484512080402e-05
"GYG2",2.6484512080402e-05
"ADCY8",2.6484512080402e-05
"AXIN2",2.67650084540116e-05
"RAD51L3-RFFL",2.71519072310056e-05
"RHOBTB1",2.87706487272138e-05
"PDE3A",2.90724472913747e-05
"RNF175",2.90981612409509e-05
"IFITM3",2.95780518158473e-05
"ZDHHC14",2.95780518158473e-05
"CDC42EP3",2.95780518158473e-05
"ZNF154",2.98109349303699e-05
"RAP2A",3.06833978010128e-05
"ITPR2",3.08692236551093e-05
"FAM43A",3.08907884488266e-05
"SYTL2",3.11103460142668e-05
"RGS16",3.15258864121765e-05
"TLE1",3.23997543268407e-05
"CTDSPL",3.28679801684033e-05
"chr8:59726971-59727111",3.38795098694562e-05
"NUDT4P1",3.41567220784397e-05
"SLC12A4",3.41567220784397e-05
"chr17:16595111-16595220",3.47083255482631e-05
"C1QTNF6",3.48220282756056e-05
"SATB1",3.49690048331616e-05
"ZIC2",3.54480077345926e-05
"SLC39A12",3.55003252088368e-05
"MAMDC2",3.55003252088368e-05
"WASF2",3.59578519401134e-05
"F3",3.84103000117133e-05
"SEMA6D",3.85062466199694e-05
"RNF220",3.85062466199694e-05
"CREBL2",3.85062466199694e-05
"chr13:110943076-110943167",3.86153778851866e-05
"MCHR1",3.93288536521661e-05
"HIVEP1",3.93288536521661e-05
"PRIMA1",3.93514908783551e-05
"NKAIN2",3.97630223625057e-05
"SETBP1",4.10950698069811e-05
"AK097033",4.18920943696305e-05
"SPOCK2",4.3565869428297e-05
"KAT6B",4.45716937585666e-05
"chr18:3894699-3894805",4.46483330212642e-05
"TPST1",4.48614096603925e-05
"UBE2H",4.52641476290235e-05
"ACAA1",4.52641476290235e-05
"LOC441081",4.54084259262388e-05
"TXLNB",4.64212601100633e-05
"DACH1",4.68996687673749e-05
"PDE10A",4.70171665629995e-05
"TCEA3",4.70171665629995e-05
"SGCE",4.72790939725834e-05
"DAG1",4.88514916994704e-05
"LNX1",4.94281014734121e-05
"SLC2A1",4.98795159203733e-05
"FIGN",4.99306269560486e-05
"ADGRL2",5.18272924259449e-05
"FUCA2",5.22747850858559e-05
"WWC3",5.55517269726358e-05
"NAP1L1",5.73356173795111e-05
"SH3RF1",5.97608032025235e-05
"PPCS",6.12047710176971e-05
"ADRA1A",6.1690956427659e-05
"SGK223",6.26447757524502e-05
"chr17:20226313-20226422",6.26447757524502e-05
"GRB10",6.26447757524502e-05
"C1QL4",6.43884615882619e-05
"USP32P1",6.54270429502022e-05
"SLFN13",6.74883861137571e-05
"TIAM1",6.74883861137571e-05
"ITIH5",6.74883861137571e-05
"control",6.74883861137571e-05
"PAK1",6.79479578094203e-05
"IGSF9B",6.79479578094203e-05
"SPTB",6.79506943393964e-05
"ALDOC",6.92103901478875e-05
"ZNF436",6.94798902271559e-05
"SLC6A11",7.05490799965811e-05
"DDIT4L",7.15420120110442e-05
"FZD6",7.40394692015708e-05
"DBX2",7.5560731289202e-05
"SERINC5",7.57781653127138e-05
"CD99",7.57781653127138e-05
"CD99",7.57781653127138e-05
"HOXB3",7.57781653127138e-05
"PRSS35",7.71879913180605e-05
"SLC4A4",7.76906806505852e-05
"LHFPL3",7.76906806505852e-05
"ZNF367",7.76906806505852e-05
"MIR4697HG",7.76906806505852e-05
"SNORD61",7.81173108040415e-05
"ABCC3",7.87220824111e-05
"FGFR2",7.87220824111e-05
"CHST15",7.90934864209046e-05
"SGCG",7.90934864209046e-05
"ADCY7",7.93778931957519e-05
"control",7.97373125136692e-05
"SOX6",8.00254887115097e-05
"chr13:111066553-111066651",8.00254887115097e-05
"chr4:66959841-66960253",8.00254887115097e-05
"KCNMB1",8.10492475597405e-05
"LOC102724507",8.10828763412082e-05
"SGMS1",8.14663626314493e-05
"PTPRE",8.19525658570699e-05
"CHURC1-FNTB",8.37144140878891e-05
"MFSD14A",8.37144140878891e-05
"KALRN",8.40826936248796e-05
"SMYD3",8.40826936248796e-05
"SLC47A2",8.43755260773526e-05
"chrX:28988853-28988926",8.43755260773526e-05
"ZNF717",8.538797617741e-05
"PRKD1",8.90054861097132e-05
"ADGRB1",8.9838328166351e-05
"PKNOX2",8.9838328166351e-05
"EDIL3",9.04501415101185e-05
"TMEM97",9.07297574995063e-05
"SDC3",9.23493131381903e-05
"NPNT",9.37989719626794e-05
"FJX1",9.55925570136625e-05
"ASS1",9.60085932645726e-05
"ACSBG1",9.89829992521041e-05
"control",9.94716472332491e-05
"DBI",9.95761950895748e-05
"ADORA2B",0.000100757277715415
"WDR1",0.000100757277715415
"ZNF626",0.000101896021315075
"LOC102725104",0.000101896021315075
"LOC102725104",0.000101896021315075
"MLIP",0.000101896021315075
"ADHFE1",0.000101896021315075
"GRM7",0.000101896021315075
"ZNF217",0.000102841301985529
"GDF10",0.000104900641039166
"FRZB",0.000105268284892735
"CCDC144CP",0.000107057675504674
"LOC441081",0.000107222852569121
"RIMS2",0.000108176227048879
"RNASEL",0.000108176227048879
"ITGA6",0.000108176227048879
"PRUNE2",0.000108828217589134
"PSD3",0.000108828217589134
"NABP1",0.000108935107531016
"OCLN",0.000108935107531016
"LOC102724507",0.000108935107531016
"SLC35D1",0.000114262426946636
"PDE7B",0.000114262426946636
"PLCZ1",0.000115945456098496
"CPD",0.00011656347206739
"ATF3",0.000116750664464606
"ASAP3",0.000116750664464606
"MTCL1",0.000116750664464606
"BEGAIN",0.000116980980769215
"VWA5A",0.000119697306027751
"TBC1D8",0.000119697306027751
"CST3",0.000119697306027751
"WNT3",0.000119697306027751
"CPAMD8",0.000120379969462112
"ECEL1",0.000122691577603783
"LIX1",0.000123163275251389
"ELOVL4",0.000123382448440964
"CALB1",0.000123589620169626
"KAT2B",0.000126322311816153
"PCGF5",0.000127048252998564
"HSPB1",0.000127048252998564
"LOC102724507",0.000128454630815886
"LOC102724507",0.000130796984527835
"SLC12A4",0.000134149718869231
"chr11:119527021-119527122",0.000135338444526976
"LAP3",0.000136936526665017
"RAB29",0.000136936526665017
"TGFB1I1",0.000137726136060583
"SH3GL2",0.000138149904062522
"NDRG2",0.000142406918293778
"TAAR3",0.000142730767473707
"ALG10B",0.000142730767473707
"CYP4F30P",0.000144595596255052
"HNMT",0.000144595596255052
"TOX3",0.000147629169349832
"LOC102725104",0.000151052385532256
"FAM107B",0.000151465276202566
"ITGA7",0.000153387095038012
"UBE2E4P",0.000153387095038012
"chr7:120312921-120313026",0.000153861464304005
"FOXP1",0.000153988656454541
"ADAMTSL1",0.000155352372706295
"TRPS1",0.000155406141390356
"COL4A6",0.000156907792945494
"RXRG",0.000158065580766335
"CYP4F30P",0.000163934170080747
"MT2A",0.000164752667812643
"MEIS1",0.000165824552858886
"GFRA1",0.000166777920592338
"COL4A2",0.000170196870110841
"RUNX1T1",0.000172068521080908
"AKAP9",0.000172068521080908
"PRUNE2",0.000173848846920143
"NIT2",0.00017431909396843
"WT1",0.000174568600171855
"STK35",0.000174568600171855
"PRPH",0.000175417111707173
"IFITM2",0.000175417111707173
"POLR2J3",0.000175417111707173
"NALCN",0.000175417111707173
"IGSF11",0.000179694109671839
"ARHGEF26",0.000182063843748927
"SLC22A3",0.000188641537924518
"IL13RA2",0.000188647160759965
"KCNJ16",0.000194316023642945
"WBSCR17",0.0001944854413923
"CARD19",0.0001944854413923
"SLC16A9",0.000195120301771097
"GSN",0.000196588023738282
"C1orf61",0.000199621232326929
"CERK",0.000199855888001529
"LPGAT1",0.000200386325879853
"TACR1",0.000200645674538791
"FAM126B",0.000200645674538791
"chrX:47657325-47664188",0.000201253684050433
"MKNK2",0.000201618174924169
"SPON1",0.000202473218039505
"SND1",0.000203437655208709
"CD36",0.000203437655208709
"chr12:18511179-18511316",0.000203437655208709
"ANGPT1",0.000203800138881386
"LRP4",0.000204085443678426
"LOC101059935",0.000204085443678426
"CAMK2G",0.000204085443678426
"ABLIM1",0.000204387787323279
"STOX2",0.000204685097515309
"RTL1",0.000205391369031106
"EBF1",0.000205391369031106
"CSMD2",0.000209240190531249
"SLC9A9",0.00021126944517322
"POTEB3",0.00021126944517322
"COBL",0.000212330933786637
"ZFP36",0.000212747874499618
"SBNO1",0.000218419555201452
"CHPT1",0.000219638455273685
"ITM2C",0.000219638455273685
"DLK1",0.000221775999213476
"NOTCH1",0.000221775999213476
"SCPEP1",0.000221775999213476
"SLAIN2",0.000222335201047054
"control",0.000222773069801445
"LMNA",0.000222773069801445
"NRP2",0.000222773069801445
"SMAD2",0.000222773069801445
"PDE1A",0.000223562218127769
"VASH2",0.000224826600270259
"control",0.000228907913202777
"LOC102724229",0.000230917015537989
"ESCO2",0.000236481508572677
"MYO3A",0.000237934322285253
"control",0.000239373766951756
"TOB2",0.000242749503300963
"URB1",0.000243528753532599
"NRP2",0.000243528753532599
"ST7",0.00024377899951925
"LOC100133106",0.000247528405873386
"FGD6",0.000247528405873386
"KLHL15",0.000251762443846228
"RNF213",0.000251985454437939
"ALG9",0.000252832787775613
"PSD3",0.000254182993098135
"LOC441081",0.0002544841880371
"AUTS2",0.00025528001329531
"HIST1H1C",0.000256560031649084
"chr3:141864296-141864397",0.000256560031649084
"ERGIC1",0.000260050462943745
"RARA",0.000261257168367898
"GFPT2",0.000264859012582578
"PAQR6",0.000264859012582578
"chr5:79947884-79947954",0.000264859012582578
"chr10:26108291-26108355",0.000266448209880777
"TRAF3IP2",0.000268115911841204
"SLC22A23",0.000269887015421542
"NAT8L",0.000272226060908138
"ZBTB21",0.000273728928331399
"PNMAL1",0.000274713978469958
"RASA4B",0.00027724406350947
"NUMA1",0.000277539663194686
"ADIPOR2",0.00028594788522996
"C1orf198",0.000290296452912094
"IGFBP2",0.000290296452912094
"WWTR1",0.000291979598307475
"AADAT",0.000296603576537975
"NRG1",0.000298230882812392
"GALNT13",0.000298230882812392
"SDK2",0.000302298655983491
"chr2:25280902-25281198",0.000304690781908274
"PBRM1",0.000308274474816185
"KAZN",0.000311364497624041
"AF216862",0.000312982070276376
"LOC100131508",0.000316305766685962
"NEB",0.000316305766685962
"LDAH",0.000316305766685962
"chr7:21259828-21260391",0.000323515568641442
"HABP4",0.000325309165490558
"SLC15A3",0.000328874276516197
"RBP4",0.000328874276516197
"RHOBTB3",0.000333951045660669
"SERPINA3",0.000337023776051774
"AQP7",0.000339755764767703
"RDH11",0.000343153849625837
"CACNG5",0.00034416208490693
"CRLF1",0.000345750573085861
"CCDC171",0.000345750573085861
"CD34",0.000345750573085861
"EPC1",0.000346432400659072
"STMN4",0.000347144951149175
"PLCD1",0.000348208149259857
"FAM168A",0.000349351725131889
"LRBA",0.00035625396580734
"SPECC1",0.000359106352827036
"chr11:41144469-41144564",0.000359106352827036
"LOC100134868",0.000361759057163058
"NAMPT",0.000364421282595801
"CAV2",0.000364421282595801
"SAMD9",0.000366938378665471
"ERGIC3",0.000371244313872912
"LFNG",0.000376929897841321
"ADAMTS18",0.000376929897841321
"RGMA",0.000381516618413747
"RAPGEF2",0.000382810681245162
"C3orf70",0.000383752059803575
"PAPPA",0.000389821632488319
"JADE1",0.000391819021301263
"NUP93",0.000391885686886279
"AY358815",0.000394455605044483
"LOC441081",0.000394455605044483
"PCMTD1",0.000395161048791069
"ANKRD13A",0.000395523420157793
"MAP1LC3C",0.000401015734002528
"SEPW1",0.000402908004686159
"IGSF9B",0.000404413763100042
"DGKE",0.000405079510881915
"BCL6",0.000405263340955697
"FGF14",0.000405263340955697
"EIF4A2",0.000407113396689011
"ARHGAP42",0.000407113396689011
"FAM118A",0.000407880216516865
"SOX13",0.000423146528578079
"GRAMD4",0.000423146528578079
"GRHL1",0.000423301147425228
"NAMPT",0.00042729316131876
"PMPCB",0.000430486367654579
"chr5:94857073-94857174",0.000432582230557438
"SYT10",0.000432582230557438
"chr9:133325245-133325341",0.000432582230557438
"RTN1",0.00043512311121225
"MMD2",0.000439563249657132
"EBF3",0.000439563249657132
"GAS2L3",0.000439563249657132
"BBS9",0.000439563249657132
"NTN1",0.000441901824929509
"UBE4B",0.000454220124651451
"CRYAB",0.000454220124651451
"SMG9",0.000455112944357611
"SP8",0.000458907266719143
"FLOT1",0.000458907266719143
"FLOT1",0.000458907266719143
"FLOT1",0.000458907266719143
"SEPT6",0.00046109940710713
"HNF4G",0.00046604805856235
"CCDC77",0.000479222594243451
"ELL2",0.000479712897418302
"FAR2P1",0.000485437238883807
"PROX1",0.00049137383661445
"FAM69B",0.000494604024893035
"control",0.000495396430810145
"LRRCC1",0.000496024692754793
"MRAS",0.000496024692754793
"MT1F",0.000496024692754793
"SLFN11",0.000496024692754793
"CTSC",0.000496024692754793
"ZNF618",0.000496024692754793
"ACTN1",0.000496024692754793
"EVA1C",0.000496024692754793
"ALG10B",0.000497125933306088
"ACSS3",0.000497814769986402
"B3GALT1",0.000499041600019211
"PCDHB5",0.000503352315156098
"MT2A",0.000503352315156098
"RERGL",0.000503858333722236
"CHAF1B",0.000503858333722236
"KIAA1161",0.000503858333722236
"NECAP2",0.000505912091309003
"EIF4B",0.000505912091309003
"MAL",0.000506637720911301
"SH3KBP1",0.000510232576398899
"CFL1",0.000514364534435335
"LRRC55",0.000514707872157753
"ZIC5",0.000519126338739734
"NACC2",0.000525457457095243
"TMEM185B",0.000526414015376753
"COQ2",0.000532351273031865
"PCGF2",0.00054415948166794
"chr1:205320349-205321057",0.000547041290431244
"control",0.000547831757978486
"SCD5",0.000549407122126757
"PINK1",0.00055069330754271
"PHGDH",0.000563199852110225
"TNFRSF1A",0.000566090179195364
"ELOVL2",0.000579417517285382
"PLSCR1",0.000579417517285382
"LRP5",0.000582269768276869
"FAHD2B",0.000583578880498674
"TAS2R4",0.000584288295631347
"MIR181A2",0.000584288295631347
"TRIM47",0.000593885655085603
"CYP21A1P",0.000593989478875432
"AQP4-AS1",0.000598452701634676
"MBNL3",0.000599942835374416
"ENPP2",0.000604566838920187
"PEG10",0.000606207956433232
"PARD3B",0.00062699857526345
"NR2C1",0.000628527796627415
"PLXNA2",0.000628527796627415
"CD9",0.000628527796627415
"LONRF1",0.000628527796627415
"ZNF106",0.000628527796627415
"MTND2P28",0.000629725322522704
"MAMLD1",0.000631720968548883
"MT2A",0.00063716263191163
"POLB",0.000639119887091884
"ATP8A1",0.000650024171824997
"PCDHB10",0.000655173817710161
"HOXB7",0.000656886124114017
"POMGNT2",0.000660937001683423
"ANK3",0.000664395960302566
"MYL12A",0.000664395960302566
"ZNF506",0.000664692302609306
"RAPGEF4",0.0006749790346964
"NT5E",0.000675983118303845
"ZSCAN16",0.000675983118303845
"FGD3",0.000676059445186719
"MTMR3",0.000676382986265458
"WDFY1",0.000681135620041034
"MAN2A2",0.000684199342040263
"chr6:92436823-92436889",0.00069145022376016
"CNKSR3",0.000693153611629716
"LOC151760",0.000693153611629716
"SNRPG",0.000696387453335405
"CATSPERB",0.000697242961646756
"SMIM14",0.000702739298356041
"PCGF3",0.000703982821013484
"ALPK2",0.000706344310584981
"HIST1H3F",0.00070744929648718
"PLCD3",0.000709659015684994
"EFCAB13",0.000710189034379017
"KLF13",0.00071308417432892
"GUCY1A2",0.000714754030448457
"TMOD3",0.000723073719443604
"OR7E37P",0.000733670916919718
"ZNF618",0.000741695028586745
"SLC17A8",0.000741695028586745
"FBXL3",0.000744409268341353
"HS3ST3B1",0.000746577978768047
"SLC35D2",0.000749065751264385
"CENPT",0.000762839765396365
"POTEB3",0.000762839765396365
"WBP1L",0.000762839765396365
"AQP4",0.000772380485111405
"control",0.000786326673498854
"SESN1",0.000786326673498854
"ARID5A",0.000797180581188159
"TBC1D19",0.000802220638555057
"LETM2",0.000809152836309855
"RRM2",0.000811483678523447
"MGEA5",0.000828240847872992
"PLS3",0.000830416400355325
"chr11:68227616-68227687",0.000836259433143327
"AK023447",0.000844290962965541
"SLMO2-ATP5E",0.000847916267409109
"ZBTB38",0.00086292071898868
"TRPC1",0.00086679801768376
"PIK3R3",0.000875116047325579
"CYP21A1P",0.000875401563298508
"CYP21A1P",0.000875401563298508
"NFIX",0.00088757422231712
"PIP5K1B",0.000887603629163209
"GAL",0.000888587719038622
"NLGN4X",0.000889812023403494
"FBLIM1",0.000894271456864205
"SPRY1",0.000907710604713165
"GYPC",0.000910707983765082
"PPARD",0.00091085589107819
"EFR3B",0.00091085589107819
"LOC441081",0.000910867485279421
"chrX:16893265-16893390",0.000927399964800354
"NEDD4",0.000927464149154788
"LRIF1",0.00093198441446041
"chr2:32439525-32439631",0.000934161967213992
"SH3BP5",0.000935244958018164
"KCNG4",0.000938292728372292
"PARP14",0.000939851942419636
"CERS5",0.000940042067968771
"OR7E37P",0.00095254900071026
"AKAP12",0.00095254900071026
"KDR",0.000959663578385565
"SLAIN1",0.000976022120267107
"PCBD1",0.000983898805978467
"ERI1",0.000986986331315992
"TMEM104",0.000994670989561507
"SAT1",0.00101015019306647
"CPM",0.00101450303583614
"C14orf105",0.00102686521200226
"chr15:46952856-46952958",0.00102686521200226
"OR7E37P",0.00103696482218731
"chr5:153134942-153135240",0.0010398785234728
"NEFM",0.00104205170029621
"DDX60L",0.00104205170029621
"CREG1",0.00104205170029621
"DTNA",0.00104205170029621
"EPB41",0.00105900101560873
"RNF148",0.00106094503814846
"MAL2",0.00106439581435745
"CENPB",0.0010696000219955
"chr7:110749339-110749413",0.00107305296443318
"chr12:79918654-79918950",0.00108093784352803
"C2orf80",0.00108145753391375
"TBC1D13",0.00108668464272401
"control",0.00109375623392784
"GPRC5B",0.00110882138849269
"SPAG4",0.00111454065296288
"TRAPPC3",0.00111915089403318
"ZNF770",0.00112144738990069
"DCC",0.00112274418781947
"ZFP36L1",0.00112274418781947
"chr5:145965650-145965763",0.00112274418781947
"SAMD4A",0.00112274418781947
"control",0.00112302575544485
"chr14:32155898-32156004",0.00112302575544485
"HSPA12A",0.00112303683819322
"chr6:111719385-111719456",0.00112303683819322
"STXBP5",0.00112832831992539
"SNORA41",0.00112863395978697
"RARB",0.00112863395978697
"PTPRN2",0.00113470483802013
"GPR155",0.00113536062763592
